¿Cuál es su sexo?;¿Cuál es su año de nacimiento?;Edad;¿Cuál es su Nacionalidad?;"Ha seleccionado ""Otra"", por favor, indíquela:";Código Postal;¿Cuál es su nivel de estudios alcanzados?;Situación profesional:;"Ha seleccionado ""Otra situación"", por favor, especifique:";¿Con qué frecuencia visita la estación de esquí y montaña de Sierra Nevada en invierno?;¿Con qué frecuencia visita  la estación en conjunto? (Invierno y Verano);¿Qué opinión tiene de las actividades ofertadas?;Servicio de venta de forfaits;Servicio de atención al cliente;Colas en el Centro de Atención al Usuario (Atención al cliente y Taquillas);Colas en el acceso a los remontes;Preparación de las pistas;Número y variedad de pistas;Áreas recreativas y lúdicas para no esquiadores;Snowpark;Servicio de aparcamiento de pago (parking);Accesos por carretera a la estación de esqui, snowboard y montaña de Sierra Nevada;Movilidad en la urbanización;Mantenimiento y limpieza de la urbanización;¿Qué probabilidades hay de que recomiende Sierra Nevada a un amigo o compañero?;Created;Updated
Masculino;1995;29;Española;;41710;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Muchas actividades, la oferta es abundante.;10;10;10;10;10;6;6;4;9;8;9;9;10;13/1/2024 00:25;13/1/2024 00:25
Masculino;1985;39;Española;;4700;EGB / Primaria / ESO / FP Medio;Desempleado;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;8;8;7;4;7;5;5;6;7;3;3;3;7;13/1/2024 01:06;13/1/2024 01:06
Masculino;1976;48;Española;;41500;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;7;6;8;7;8;5;4;4;7;5;5;6;12/1/2024 23:49;12/1/2024 23:49
Masculino;1989;35;Española;;14520;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;6;5;0;1;3;4;2;3;3;0;4;0;6;12/1/2024 23:40;12/1/2024 23:40
Masculino;1988;36;Española;;3550;EGB / Primaria / ESO / FP Medio;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;6;4;4;6;7;5;5;4;6;5;5;7;13/1/2024 01:01;13/1/2024 01:01
Masculino;1979;45;Española;;18009;Grado / Licenciado / Doctorado;Estudia;;;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;6;6;6;6;3;5;6;4;2;2;10;13/1/2024 00:25;13/1/2024 00:25
Masculino;1987;37;Española;;41702;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;2;8;3;7;3;7;4;8;5;6;7;9;7;13/1/2024 00:56;13/1/2024 00:56
Masculino;1989;35;Española;;14520;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;6;5;0;6;5;5;4;4;1;0;5;0;6;12/1/2024 23:39;12/1/2024 23:39
Ninguno de los anteriores;1991;33;Otra;;;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;5;7;0;5;8;3;9;10;9;0;10;0;10;13/1/2024 00:13;13/1/2024 00:13
Femenino;1994;30;Española;;18193;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;3;3;6;7;7;7;7;5;7;7;7;6;12/1/2024 22:35;12/1/2024 22:35
Masculino;1993;31;Española;;3100;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;8;8;9;8;8;5;9;6;3;4;5;8;13/1/2024 00:44;13/1/2024 00:44
Masculino;1995;29;Española;;41927;EGB / Primaria / ESO / FP Medio;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;8;7;7;7;7;6;7;7;7;7;7;13/1/2024 00:36;13/1/2024 00:36
Masculino;1982;42;Española;;28021;Grado / Licenciado / Doctorado;Estudia;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;10;10;0;10;10;10;10;10;10;0;10;0;10;13/1/2024 00:09;13/1/2024 00:09
Femenino;1999;25;Española;;18007;Grado / Licenciado / Doctorado;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;4;7;8;8;6;6;7;7;2;4;7;7;7;13/1/2024 00:31;13/1/2024 00:31
Masculino;1993;31;Española;;30159;Grado / Licenciado / Doctorado;Desempleado;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;8;9;7;8;0;6;8;7;8;8;8;9;7;13/1/2024 00:28;13/1/2024 00:28
Masculino;2004;20;Española;;29670;Bachiller/ FP Superior;Estudia;;;Es mi primera visita;Muchas actividades, la oferta es abundante.;10;10;0;9;7;9;9;10;10;0;10;0;10;13/1/2024 00:03;13/1/2024 00:03
Masculino;2004;20;Española;;29670;Bachiller/ FP Superior;Estudia;;;Es mi primera visita;Muchas actividades, la oferta es abundante.;10;10;0;10;10;10;10;10;10;0;10;0;10;12/1/2024 23:59;12/1/2024 23:59
Masculino;1989;35;Española;;18006;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;9;9;4;4;7;7;6;7;6;8;6;7;8;13/1/2024 00:17;13/1/2024 00:17
Masculino;1995;29;Española;;41704;EGB / Primaria / ESO / FP Medio;Trabaja;;;Entre 7 y 15 días al año;Muchas actividades, la oferta es abundante.;6;8;7;7;9;9;8;8;7;8;8;9;10;12/1/2024 23:47;12/1/2024 23:47
Femenino;1993;31;Española;;18014;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;5;7;0;5;9;4;9;6;10;0;7;0;8;13/1/2024 00:09;13/1/2024 00:09
Femenino;2001;23;Española;;18800;Grado / Licenciado / Doctorado;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;6;4;4;5;8;9;8;5;9;6;5;10;12/1/2024 23:46;12/1/2024 23:46
Masculino;1992;32;Española;;23460;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;5;2;5;7;9;7;6;4;5;5;7;6;12/1/2024 23:27;12/1/2024 23:27
Masculino;2003;21;Española;;18670;Bachiller/ FP Superior;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;8;9;7;9;9;9;9;9;8;10;7;7;13/1/2024 00:06;13/1/2024 00:06
Masculino;2003;21;Española;;18670;Bachiller/ FP Superior;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;8;9;7;9;9;9;9;9;8;10;7;7;13/1/2024 00:06;13/1/2024 00:06
Masculino;1989;35;Española;;14520;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;6;5;0;6;5;5;4;4;1;0;5;0;6;12/1/2024 23:26;12/1/2024 23:26
Masculino;1995;29;Española;;41704;EGB / Primaria / ESO / FP Medio;Trabaja;;;Entre 7 y 15 días al año;Muchas actividades, la oferta es abundante.;6;7;7;7;9;9;8;8;7;8;8;9;10;12/1/2024 23:46;12/1/2024 23:46
Masculino;1989;35;Española;;14520;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;6;5;0;1;3;4;2;3;3;0;4;0;6;12/1/2024 23:22;12/1/2024 23:22
Masculino;1976;48;Española;;29660;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;8;8;5;7;7;7;6;5;5;7;8;7;13/1/2024 00:01;13/1/2024 00:01
Masculino;1991;33;Española;;18014;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;9;5;3;6;6;7;4;8;7;8;7;10;12/1/2024 23:44;12/1/2024 23:44
Masculino;2003;21;Española;;18670;Bachiller/ FP Superior;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;8;9;7;9;9;9;9;9;8;10;7;7;12/1/2024 23:59;12/1/2024 23:59
Femenino;1996;28;Española;;11360;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;10;10;10;10;10;10;10;10;10;10;10;10;10;12/1/2024 23:44;12/1/2024 23:44
Masculino;1982;42;Española;;24005;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;6;7;4;8;3;7;5;5;7;4;8;9;8;12/1/2024 23:57;12/1/2024 23:57
Masculino;1995;29;Española;;28016;Grado / Licenciado / Doctorado;Estudia;;;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;9;7;5;6;7;7;8;7;6;8;8;8;8;12/1/2024 23:57;12/1/2024 23:57
Masculino;1995;29;Española;;41704;EGB / Primaria / ESO / FP Medio;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;7;9;9;7;7;9;9;9;6;8;8;8;10;12/1/2024 23:42;12/1/2024 23:42
Femenino;1996;28;Española;;41500;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;8;8;8;8;8;8;8;8;8;8;8;12/1/2024 23:52;12/1/2024 23:52
Femenino;1996;28;Española;;11360;Grado / Licenciado / Doctorado;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;10;10;10;10;10;10;10;10;10;10;10;10;10;12/1/2024 23:42;12/1/2024 23:42
Masculino;1989;35;Española;;14520;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;6;5;0;1;3;4;2;3;3;0;4;0;6;12/1/2024 23:19;12/1/2024 23:19
Femenino;1980;44;Española;;14900;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;5;10;4;0;0;0;5;0;3;3;3;6;8;12/1/2024 23:49;12/1/2024 23:49
Femenino;1975;49;Española;;28981;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;7;7;7;7;7;7;7;7;7;7;7;7;7;12/1/2024 23:49;12/1/2024 23:49
Masculino;1989;35;Española;;14520;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;6;5;0;1;3;4;2;3;3;0;4;0;6;12/1/2024 23:18;12/1/2024 23:18
Femenino;1996;28;Española;;11360;Grado / Licenciado / Doctorado;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;10;10;10;10;10;10;10;10;10;10;10;10;10;12/1/2024 23:37;12/1/2024 23:37
Masculino;1983;41;Española;;11203;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;6;6;6;6;7;6;0;5;6;7;6;8;12/1/2024 23:47;12/1/2024 23:47
Masculino;1988;36;Española;;29660;EGB / Primaria / ESO / FP Medio;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;8;7;6;10;9;7;10;6;9;10;7;10;12/1/2024 23:37;12/1/2024 23:37
Femenino;2002;22;Española;;29680;Bachiller/ FP Superior;Estudia;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Muchas actividades, la oferta es abundante.;5;6;5;6;8;9;8;10;5;8;5;5;10;12/1/2024 23:32;12/1/2024 23:32
Masculino;1980;44;Española;;28100;Bachiller/ FP Superior;Trabaja;;;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;8;5;4;7;7;6;8;3;7;6;7;8;12/1/2024 23:46;12/1/2024 23:46
Masculino;1996;28;Española;;28011;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;8;7;8;10;8;4;5;1;5;7;1;10;12/1/2024 23:28;12/1/2024 23:28
Masculino;1988;36;Española;;29660;EGB / Primaria / ESO / FP Medio;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;7;7;6;10;9;7;10;6;8;9;6;10;12/1/2024 23:19;12/1/2024 23:19
Femenino;2002;22;Española;;29680;Bachiller/ FP Superior;Estudia;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Muchas actividades, la oferta es abundante.;6;6;6;5;8;9;7;10;5;7;4;5;10;12/1/2024 23:14;12/1/2024 23:14
Femenino;1968;56;Española;;18194;Bachiller/ FP Superior;Desempleado;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;0;10;10;8;6;5;5;0;5;0;10;12/1/2024 22:56;12/1/2024 22:56
Ninguno de los anteriores;1996;28;Española;;28380;Sin estudios o inacabada primaria;Estudia;;Más de 25 días al año;Más de 25 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;3;4;3;4;6;9;5;4;5;6;5;8;12/1/2024 23:43;12/1/2024 23:43
Masculino;1977;47;Española;;23003;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;3;3;9;8;5;8;4;4;2;8;10;12/1/2024 22:51;12/1/2024 22:51
Femenino;1999;25;Española;;14010;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;2;5;2;10;9;6;8;5;7;8;8;10;12/1/2024 22:47;12/1/2024 22:47
Femenino;1941;83;Española;;4003;EGB / Primaria / ESO / FP Medio;Jubilado;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;8;8;8;8;8;8;8;8;8;8;8;8;10;12/1/2024 22:47;12/1/2024 22:47
Femenino;1999;25;Española;;14010;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;2;5;2;10;9;6;8;5;7;8;8;10;12/1/2024 22:47;12/1/2024 22:47
Femenino;1993;31;Española;;18100;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;5;5;5;7;6;6;6;4;6;5;8;10;12/1/2024 22:44;12/1/2024 22:44
Masculino;2001;23;Española;;4760;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;9;8;9;7;8;5;9;8;9;6;6;8;12/1/2024 23:41;12/1/2024 23:41
Masculino;1980;44;Española;;28100;Bachiller/ FP Superior;Trabaja;;;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;7;5;7;7;7;8;5;7;6;7;8;12/1/2024 23:41;12/1/2024 23:41
Masculino;1996;28;Española;;41003;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;8;7;5;6;9;7;7;7;7;8;8;8;12/1/2024 23:41;12/1/2024 23:41
Masculino;1985;39;Española;;18630;Bachiller/ FP Superior;Trabaja;;;Más de 25 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;6;5;0;0;0;5;0;6;5;4;3;6;12/1/2024 22:53;12/1/2024 22:53
Femenino;2001;23;Española;;18800;Grado / Licenciado / Doctorado;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;7;6;5;4;4;8;3;7;4;7;4;7;12/1/2024 23:39;12/1/2024 23:39
Masculino;1996;28;Española;;18220;Grado / Licenciado / Doctorado;Trabaja;;;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;2;1;2;9;9;6;9;9;9;4;9;7;12/1/2024 23:39;12/1/2024 23:39
Femenino;1988;36;Española;;29680;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;7;5;5;5;5;5;5;4;4;4;6;6;12/1/2024 22:42;12/1/2024 22:42
Femenino;1975;49;Española;;28983;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;7;7;0;7;7;7;7;7;7;0;7;7;7;12/1/2024 23:38;12/1/2024 23:38
Masculino;1977;47;Española;;29004;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;10;10;7;10;6;7;10;9;10;10;10;10;12/1/2024 22:35;12/1/2024 22:35
Masculino;1995;29;Española;;30169;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;0;10;2;9;10;10;10;1;10;10;10;10;12/1/2024 22:33;12/1/2024 22:33
Femenino;2000;24;Española;;29631;Grado / Licenciado / Doctorado;Estudia;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;8;4;9;5;5;4;2;3;7;9;7;6;12/1/2024 00:41;12/1/2024 00:41
Femenino;1997;27;Española;;18001;Grado / Licenciado / Doctorado;Estudia;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;8;8;8;6;8;9;9;3;5;9;10;10;12/1/2024 22:31;12/1/2024 22:31
Femenino;1984;40;Otra;Húngara;;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;10;7;5;8;6;5;7;8;6;7;7;10;12/1/2024 22:14;12/1/2024 22:14
Masculino;1999;25;Española;;41510;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;8;7;6;5;6;6;8;2;4;6;7;6;11/1/2024 15:47;11/1/2024 15:47
Femenino;1993;31;Española;;18100;Grado / Licenciado / Doctorado;Desempleado;;;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;10;3;8;10;10;10;5;3;8;8;8;10;12/1/2024 22:10;12/1/2024 22:10
Masculino;1974;50;Española;;46300;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;9;8;8;7;8;10;8;8;7;5;5;8;10;12/1/2024 22:00;12/1/2024 22:00
Masculino;1996;28;Española;;18220;Grado / Licenciado / Doctorado;Trabaja;;;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;2;1;2;9;9;6;9;9;9;4;9;7;12/1/2024 23:28;12/1/2024 23:28
Femenino;1995;29;Española;;41011;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;7;3;1;3;4;9;7;10;10;9;10;6;11/1/2024 15:13;11/1/2024 15:13
Femenino;1995;29;Española;;41500;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;8;8;8;8;8;8;8;8;8;8;8;12/1/2024 23:26;12/1/2024 23:26
Femenino;1991;33;Española;;18140;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;6;5;0;3;8;6;5;7;6;0;7;0;6;12/1/2024 22:31;12/1/2024 22:31
Masculino;2002;22;Española;;4790;Grado / Licenciado / Doctorado;Trabaja;;Entre 15 y 25 días al año;Entre 15 y 25 días al año;Muy pocas actividades, es reducida la oferta.;6;6;8;9;8;8;6;8;8;8;8;8;8;12/1/2024 23:25;12/1/2024 23:25
Femenino;1978;46;Española;;41930;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;5;5;8;8;8;4;8;8;6;0;8;12/1/2024 23:22;12/1/2024 23:22
Masculino;1993;31;Española;;18193;Bachiller/ FP Superior;Desempleado;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;4;1;6;7;6;6;5;4;5;5;6;6;12/1/2024 22:24;12/1/2024 22:24
Masculino;1990;34;Española;;41002;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;8;7;5;7;8;5;5;6;8;6;7;10;12/1/2024 21:57;12/1/2024 21:57
Masculino;1983;41;Española;;29140;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;0;7;3;7;9;6;5;5;6;5;7;6;12/1/2024 22:23;12/1/2024 22:23
